,Tipo,Propiedad,Acción,Habitaciones,Baños,Parqueaderos,Área construída,Área privada,Estrato,Estado,Piso N°,Antigüedad,Administración,Precio m²,Dirección,Barrio,Ciudad,Departamento,Características,Precio (COP),Descripción general,Código Fincaraíz,No. Fotos,Fecha Sacada,Fecha Publicada,Enlace
10,Usado,Apartamento,venta,3.0,3,2,109 ,101 ,5,,4,16 a 30 años,No definida,"3.944.954,13",Carrera 53 # 104-86,Bogotá,Bogotá,,"['Ascensor', 'Circuito cerrado de TV', 'Garaje(s)', 'Jardín', 'Parqueadero Visitantes', 'Portería / Recepción', 'Baño Auxiliar', 'Calentador', 'Chimenea', 'Citófono', 'Cocina Integral', 'Cuarto de servicio']",430.000.000,"Exterior, con vista panorámica, tres hab y estudio, tres baños completos, hall hab, vestier, zona social con chimenea funcional, cocina y zona lavandería, ascensor, deposito, parqueadero doble en linea, cctv en todo el edificio, vigilancia 24/7,parqueadero visitantes(3) ,zona con alta valorización, parques cerca,zona recursiva.",10000789.0,15,2023-01-27 11:45:00.205806,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10000789
11,Usado,Casa,venta,8.0,3,1,320 ,0 ,3,,1,ás de 30 años,No definida,3.062.500,Calle 163A # 7G - 07,Bogotá,Bogotá,,,980.000.000,"Casa ubicada en vía principal con ruta y paradero de alimentador de Trasmilenio al frente, colegios, Universidades , centros comerciales , hospitales y puestos de control de policía cerca. Tiene un alto potencial para construcción de proyecto de vivienda. Zona en desarrollo y alta valorización .",10006515.0,3,2023-01-27 11:45:01.101974,,https://www.fincaraiz.com.co/inmueble/casa-en-venta/bogota/bogota-dc/10006515
12,Duplex,Apartamento,venta,2.0,2,1,73 ,73 ,4,,6,1 a 8 años,688.000 COP,"6.616.438,36",Calle 51 A # 3 C 34 Chapinero,Bogotá,Bogotá,,"['Ascensor', 'Circuito cerrado de TV', 'En conjunto cerrado', 'Garaje(s)', 'Parqueadero Visitantes', 'Portería / Recepción', 'Balcón', 'Baño Auxiliar', 'Calentador', 'Citófono', 'Cocina Integral', 'Instalación de gas']",483.000.000,"Apartamento Duplex en Chapinero; Con hermosa vista panorámica 

Cuenta con 2 balcones
Vista Exterior
Cerca al Centro Comercial Plaza 54
Universidad Santo Tomas
En perfecto estado, pide cita y observa este lindo apartamento",10004815.0,7,2023-01-27 11:45:01.984511,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10004815
13,Usado,Apartamento,venta,2.0,1,,42 ,44 ,3,,1,9 a 15 años,190.000 COP,"3.928.571,43",CALLE 145 C N 95 A - 40  MIRADOR DE LA CAMPIÑA 2,Bogotá,Bogotá,,"['En conjunto cerrado', 'Parqueadero Visitantes', 'Portería / Recepción', 'Salón Comunal', 'Vigilancia', 'Vivienda Multifamiliar', 'Zona Infantil', 'Zonas Verdes', 'Balcón', 'Cocina tipo Americano', 'Piso en Baldosa /  Mármol', 'Zona de lavandería']",165.000.000,"Vendo excelente apartamento ubicado en Suba la Campiña a solo 5 minutos de la estacion de la campiña de transmilenio, al lado de los parques de la capiña, excelente sector residencial, transporte a la mano, 
Buena ubicacion.
informes 3012374106",10009502.0,10,2023-01-27 11:45:02.861060,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10009502
14,Usado,Apartamento,venta,2.0,1,,38 ,35 ,3,,Otro,enor a 1 año,100.000 COP,"4.447.368,42",Calle 4b # 34 - 85,Bogotá,Bogotá,,"['Ascensor', 'Gimnasio', 'Jardín', 'Oficina de negocios', 'Parqueadero Visitantes', 'Planta Eléctrica', 'Portería / Recepción', 'Salón Comunal', 'Salón de Juegos', 'Sauna / Turco / Jacuzzi', 'Terraza', 'Vigilancia']",169.000.000,"EN BARRIO COMUNEROS CERCA A SAN ANDRESITO DE LA 38 PROYECTO MAZZARO
PARA REMODELAR A TU GUSTO
Apartamento de 38 m2 
2 habitaciones
1 baño
Sala comedor
Cocina con zona de ropas
Parqueadero comunal relación 6 a 1 
Conjunto de dos etapas, con 5 torres VIS de 17 pisos y una torre de 15 pisos. Cuenta con cinema, salón comunal, zona de coworking y salón de juegos infantiles, gimnasio dotado, zona de lavandería, 2 BBQ por torre, canchas, sauna...",10001809.0,7,2023-01-27 11:45:03.800418,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10001809
15,Usado,Apartamento,venta,1.0,1,,30 ,30 ,2,,3,1 a 8 años,135.000 COP,5.500.000,Transversal 1 este 41 A 28 Edificio Lomalinda,Bogotá,Bogotá,,"['Ascensor', 'Circuito cerrado de TV', 'En conjunto cerrado', 'Jardín', 'Parqueadero Visitantes', 'Portería / Recepción', 'Barra estilo americano', 'Calentador', 'Citófono', 'Cocina Integral', 'Cocina tipo Americano', 'Depósito / Bodega']",165.000.000,"Apartamento ubicado en la transversal 1 este N. 41 A 28 Edificio Lomalinda. El apartamento tiene vista exterior, consta de: una habitación con closet, baño con división en vidrio templado y calentador, salacomedor, cocina a gas, zona de ropas que tiene lavadero, tendedero y conexión para lavadora. El Edificio tiene 7 pisos, vigilancia las 24 horas, cámara de seguridad y ascensor. El apartamento tiene depósito.",10006757.0,18,2023-01-27 11:45:04.676222,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10006757
16,Usado,Apartamento,venta,3.0,4,4,"251,84 ","251,84 ",6,,2,16 a 30 años,1.851.600 COP,"10.324.015,25",Calle 91 # 8 - 31,Bogotá,Bogotá,,"['Ascensor', 'Canchas Deportivas', 'Circuito cerrado de TV', 'En conjunto cerrado', 'Gimnasio', 'Jardín', 'Balcón', 'Calentador', 'Chimenea', 'Citófono', 'Cocina Integral', 'Cocina tipo Americano']",2.600.000.000,"Excelente apartamento club house, en exclusivo sector , con área de 251.84 m2, exterior con muy buena iluminación, tres habitaciones cada una con closet y baño, la principal con vestier y baño con jacuzzi ducha, sala independiente con chimenea, estudio con chimenea y biblioteca, baño social, comedor con balcón y vista al exterior, cocina integral tipo americano en isla, zona de lavandería y cbs, estar de tv y/o estudio 2, ascensor directo, puerta principal depósito y 4 garajes(2 con servidumbre)",10008664.0,20,2023-01-27 11:45:05.556524,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10008664
17,Usado,Casa,venta,7.0,4,1,180 ,0 ,2,,3,ás de 30 años,No definida,"1.388.888,89",TV. 138#138-56,Bogotá,Bogotá,,,250.000.000,"Amplia casa ubicada en el barrio Suba Berlín.  7 habitaciones, 4 baños, patio, Gárage. Tres pisos. 60 mts. (5x12) de lote y 180mts. construidos en tres pisos. Completamente terminada. Precio $250.000.000. Interesados comunicarse al 3507639240",10004567.0,15,2023-01-27 11:45:06.435628,,https://www.fincaraiz.com.co/inmueble/casa-en-venta/bogota/bogota-dc/10004567
18,Usado,Apartamento,venta,3.0,1,,50 ,49 ,2,,5,16 a 30 años,No definida,3.600.000,avenida carrera 7 # 2-08,Bogotá,Bogotá,,,180.000.000,"Espectacular apartamento de 3 alcobas con closets, salacomedor, cocina integral, baño, hall de alcobas, conjunto cerrado con parqueadero comunal, zonas verdes, vigilancia 24h, cerca a la plaza de Bolívar, casa de Nariño, Hospital la Samaritana, Clínica San Rafael, estaciones de transmilenio, sobre avenida principal",10000150.0,Descripción general,2023-01-27 11:45:07.344390,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10000150
19,Usado,Apartamento,venta,3.0,2,2,"65,9 ","65,9 ",4,,5,ás de 30 años,210.500 COP,"6.449.165,4",Cr 69B #24-39,Bogotá,Bogotá,,"['Circuito cerrado de TV', 'En conjunto cerrado', 'Parqueadero Visitantes', 'Portería / Recepción', 'Salón Comunal', 'Salón de Juegos', 'Vigilancia', 'Zona Infantil', 'Zonas Verdes', 'Colegios / Universidades', 'Parques cercanos', 'Sobre vía principal']",425.000.000,"Apartamento en muy buen estado, ubicado en Ciudad Salitre conjunto con grandes zonas vedes, parque infantiles, jardin infantil , colegios,muy acogedor, un excelente sector para vivir.",10003742.0,4,2023-01-27 11:45:08.214890,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10003742
20,Usado,Apartamento,venta,2.0,1,,36 ,0 ,0,,,,No definida,"5.138.888,89",Calle 18  20-51,BOGOTÁ,Bogotá,Cundinamarca,,185.000.000,Espectacular apto nuevo para estrenar en el sector de Paloquemao muy bien ubicado excelente luz y panorámica zonas verdesSi zona de bbq parque interior lavandería comunal salón comunal 6 piso,7789238.0,5,2023-01-27 11:45:09.096932,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota/7789238
21,Usado,Apartamento,venta,3.0,2,,"52,38 ",0 ,3,Bueno,8,9 a 15 años,122.000 COP,"3.589.156,17",Calle 6 B  81 B 51 Parque. Res. Tierra del Sol.  3192116420,Bogotá,Bogotá,Cundinamarca,"['Ascensor', 'Circuito cerrado de TV', 'En conjunto cerrado', 'Parqueadero Visitantes', 'Piscina', 'Portería / Recepción', 'Calentador', 'Cocina Integral', 'Instalación de gas', 'Patio', 'Piso en Baldosa /  Mármol', 'Zona de lavandería']",188.000.000,GANGA 188 millones El metro cuadrado está en 3 millones 742 mil 183 pesos Vendo apartamento estrato 3 sala comedor cocina integral 3 habitaciones 2 baños piscinas salón comunal oficinas administrativas zona de BBQ vigilancia 24 horas parqueadero visitantes canchas deportivas zona infantil zonas verdes calentador de agua patio de ropas supermercados centro comercial Colegios transporte público cercano EL PRECIO ES NEGOCIABLE,7680978.0,8,2023-01-27 11:45:09.967355,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota/7680978
22,Usado,Apartamento,venta,4.0,4,2,107 ,0 ,4,Bueno,1,9 a 15 años,No definida,"5.233.644.859,81",CALLE152B  72 -51,El plan,Bogotá,"Bogotá, d.c.","['Ascensor', 'Cancha de Squash', 'Circuito cerrado de TV', 'Cuarto de Escoltas', 'En conjunto cerrado', 'Garaje(s)', 'Balcón', 'Calentador', 'Chimenea', 'Citófono', 'Cocina Integral', 'Cuarto de servicio']",560.000.000.000,"Vendo Apartamento Club House multifamiliar Colina campestre Noroccidente( Gratamira ,),estrato 4 , consta de 4 habitaciones incluida la de servicio, principal con vestier, 4 baños , y balcon,  2 parqueaderos en linea, 1 deposito , chimenea funcional , rejas de seguridad,, piso madera, cosina integral , con electrodaomesticos  como nuevos  y calentador y servicios , zora de lavanderia .sector exclusivo de gran valorizacion para invertir o vivir  alrededor estrato 5 y 6  arriendo dos millones",7747048.0,19,2023-01-27 11:45:10.854883,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-plan/bogota/7747048
23,Usado,Apartamento,venta,,Código Fincaraíz: 7791200,1,85 ,85 ,4,Excelente,2,9 a 15 años,230.000 COP,"5.058.823,53",kra 72  152 b 32,El plan,Bogotá,"Bogotá, d.c.","['Ascensor', 'Cuarto de Escoltas', 'Garaje(s)', 'Parqueadero Visitantes', 'Portería / Recepción', 'Salón de Juegos', 'Balcón', 'Baño Auxiliar', 'Calentador', 'Chimenea', 'Citófono', 'Cocina Integral']",430.000.000,"VENTA. Apartamento de 85 metros cuadrados área total: cuenta  con: Tres  Habitaciones,  Dos Baños, Sala Comedor, Cocina, zona de ropas, Balcón,  Un parqueadero propio y Deposito, Zonas Sociales, Salón de eventos, parqueadero para visitantes, bicicleteros y Gym,  Cerca transporte publico, Centros Comerciales, Supermercados... EXCELENTE UBICACION...",7791200.0,11,2023-01-27 11:45:11.728695,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-plan/bogota/7791200
24,PentHouse,Apartamento,venta,3.0,2,2,77 ,"70,45 ",Código Fincaraíz: 10006929,,13,9 a 15 años,No definida,"6.233.766,23",Calle 152 # 72 - 35,El plan,Bogotá,"Bogotá, d.c.","['Ascensor', 'En conjunto cerrado', 'Garaje(s)', 'Gimnasio', 'Jardín', 'Parqueadero Visitantes', 'Balcón', 'Baño Auxiliar', 'Calentador', 'Citófono', 'Cocina Integral', 'Estudio']",480.000.000,"Apto. exterior 78m. Consta de 3 habitaciones, 2 baños, 2 balcones,zona de estudio, sala-comedor, cocina integral y zona de lavandería, puerta de seguridad, garaje doble cubierto. Estrato 4. Excelente vista e iluminación natural. Conjunto con salón comunal, parque infantil, parqueadero de visitantes. Está ubicado cerca al Éxito, Decathlon, Centro Comercial La Colina. Cuenta con una excelente ubicación y de fácil acceso rutas del Sitp. Canon de arrendamiento incluida administración.",10006929.0,12,2023-01-27 11:45:12.598532,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-plan/bogota/10006929
25,Usado,Apartamento,venta,3.0,3,2,145 ,0 ,5,,4,9 a 15 años,379.000 COP,"4.896.551,72",Calle 152B # 58C - 50,El plan,Bogotá,"Bogotá, d.c.","['Ascensor', 'Circuito cerrado de TV', 'En conjunto cerrado', 'Garaje(s)', 'Gimnasio', 'Jaula de Golf', 'Balcón', 'Baño Auxiliar', 'Calentador', 'Chimenea', 'Citófono', 'Cocina Integral']",710.000.000,"¿Buscando una propiedad en Colina Campestre? Tenemos justo lo que necesita. Es un apartamento de 145 m2 incluido balcón, con 3 habitaciones + estudio, sala de tv, 3 baños, sala con chimenea y comedor ambas con salida al balcón, cocina integral con zona de lavandería, 2 parqueaderos descubiertos, 1 depósito. Recibe sol de tarde. Admin 379 mil pesos. Areas comunes: Parque infantil, salón social, gimnasio, piscina, cancha de squash, parqueaderos visitantes. Negociables ¡Oportunidad!",10006732.0,20,2023-01-27 11:46:07.269657,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-plan/bogota/10006732
26,Usado,Apartamento,venta,2.0,1,1,72 ,72 ,4,,6,1 a 8 años,290.000 COP,"5.972.222,22",CL 152 # 72 - 81,El plan,Bogotá,"Bogotá, d.c.","['Ascensor', 'En conjunto cerrado', 'Garaje(s)', 'Gimnasio', 'Jardín', 'Oficina de negocios', 'Balcón', 'Baño Auxiliar', 'Barra estilo americano', 'Chimenea', 'Citófono', 'Cocina Integral']",430.000.000,"APARTAMENTO CONJUNTO TECA VERAMONTE(colina campestre), el apartamento cuenta con: sala comedor, cocina integral estilo americano, tres habitaciones, dos baños, vista interna, piso 6 con ascensor, 2 depositos, parqueadero cubierto, conjunto con Salón social,gimnasio por entregar, 2 salones sociales, Terraza BBQ, area de juegos para niños,bicicletero, entre otros sitios de interes: centro comercial la colina a 5 min caminando, clinica colina 2 minutos en carro entre otros",10000070.0,13,2023-01-27 11:46:08.166878,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-plan/bogota/10000070
27,Usado,Apartamento,venta,3.0,3,2,98 ,0 ,4,,1,,No definida,"6.479.591,84",CL 152C # 72 - 65,El plan,Bogotá,"Bogotá, d.c.","['Ascensor', 'Canchas Deportivas', 'Circuito cerrado de TV', 'En conjunto cerrado', 'Garaje(s)', 'Gimnasio', 'Balcón', 'Baño Auxiliar', 'Citófono', 'Cocina Integral', 'Estudio', 'Hall de Alcobas']",635.000.000,"SE VENDE lindo y acogedor apartamento Norte Bogotá de 98 mts2, primer piso esquinero, Sala comedor independiente o en un solo ambiente: un solo ambiente, 3 habitaciones con su respectivo closeth, 3 baños, cocina abierta, espacio para estudio, sala de tv. balcón, dos parqueaderos, un deposito de 6.62 mts2. amplia zonas sociales con terraza Bbq, piscina, sauna, turco, gimnasio, salón de juegos, salón social, teatrino, sala de juntas. 635.000.000 Negociable",10007554.0,20,2023-01-27 11:46:09.076699,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-plan/bogota/10007554
28,Usado,Apartamento,venta,3.0,3,2,"97,57 ",0 ,4,,1,1 a 8 años,No definida,6.508.148,AK 72 # 152B - 65,El plan,Bogotá,"Bogotá, d.c.","['Ascensor', 'Canchas Deportivas', 'Circuito cerrado de TV', 'En conjunto cerrado', 'Garaje(s)', 'Gimnasio', 'Balcón', 'Baño Auxiliar', 'Calentador', 'Citófono', 'Cocina Integral', 'Depósito / Bodega']",635.000.000,"SE VENDE lindo y acogedor apartamento Norte Bogotá de 98 mts2, primer piso esquinero, Sala comedor independiente o en un solo ambiente: un solo ambiente, 3 habitaciones con su respectivo closeth, 3 baños, cocina abierta, espacio para estudio, sala de tv. balcón, dos parqueaderos, un deposito de 6.62 mts2. amplia zonas sociales con terraza Bbq, piscina, sauna, turco, gimnasio, salón de juegos, salón social, teatrino, sala de juntas. 635.000.000 Negociable",10007260.0,20,2023-01-27 11:46:09.975438,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-plan/bogota/10007260
29,Usado,Apartamento,venta,3.0,1,1,49 ,0 ,4,,3,16 a 30 años,160.000 COP,"5.510.204,08",Carrera 58C # 152B - 2,El plan,Bogotá,"Bogotá, d.c.",,270.000.000,"Vendo apartamento en Colinas de Cantabria.
49 mts
3 habitaciones
Un baño con opcion de hacer otro
Sala comedor,pisos en ceramica
Cocina integral a gas
Zona de lavado independiente
Garaje cubierto independiente
Deposito.",10006994.0,9,2023-01-27 11:46:10.879702,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-plan/bogota/10006994
30,Usado,Apartamento,venta,3.0,2,1,80 ,72 ,4,,11,9 a 15 años,No definida,5.250.000,Calle 152 # 72 - 35,El plan,Bogotá,"Bogotá, d.c.","['Ascensor', 'En conjunto cerrado', 'Garaje(s)', 'Gimnasio', 'Oficina de negocios', 'Parqueadero Visitantes', 'Balcón', 'Baño Auxiliar', 'Calentador', 'Citófono', 'Cocina Integral', 'Estudio']",420.000.000,"Hermoso apartamento con cocina integral, zona del lavandería, dos balcones, zona de estudio, 3 alcobas y 2 baños. Iluminación y ventilación natural como te gusta. Apartamento en excelentes condiciones para ser habitado de manera inmediata y sin intermediarios.",10005352.0,19,2023-01-27 11:46:11.777188,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-plan/bogota/10005352
31,Usado,Apartamento,venta,3.0,2,2,87 ,0 ,4,,6,9 a 15 años,250.000 COP,5.000.000,Calle 152 # 72 - 2,El plan,Bogotá,"Bogotá, d.c.",,435.000.000,"3 habitaciones
2 baños
1 estudio
2 balcones
En arriendo no se da con parqueadero
Cocina integral
Cuarto de ropas
Sexto piso con ascensor
Deposito
Precio arriendo incluye administración",10007612.0,20,2023-01-27 11:46:12.660313,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-plan/bogota/10007612
32,Usado,Apartamento,venta,4.0,4,2,107 ,0 ,4,Bueno,1,9 a 15 años,No definida,"5.233.644.859,81",CALLE152B  72 -51,El plan,Bogotá,"Bogotá, d.c.","['Ascensor', 'Cancha de Squash', 'Circuito cerrado de TV', 'Cuarto de Escoltas', 'En conjunto cerrado', 'Garaje(s)', 'Balcón', 'Calentador', 'Chimenea', 'Citófono', 'Cocina Integral', 'Cuarto de servicio']",560.000.000.000,"Vendo Apartamento Club House multifamiliar Colina campestre Noroccidente( Gratamira ,),estrato 4 , consta de 4 habitaciones incluida la de servicio, principal con vestier, 4 baños , y balcon,  2 parqueaderos en linea, 1 deposito , chimenea funcional , rejas de seguridad,, piso madera, cosina integral , con electrodaomesticos  como nuevos  y calentador y servicios , zora de lavanderia .sector exclusivo de gran valorizacion para invertir o vivir  alrededor estrato 5 y 6  arriendo dos millones",7747048.0,19,2023-01-27 11:46:13.591293,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-plan/bogota/7747048
33,Usado,Apartamento,venta,,Código Fincaraíz: 7791200,1,85 ,85 ,4,Excelente,2,9 a 15 años,230.000 COP,"5.058.823,53",kra 72  152 b 32,El plan,Bogotá,"Bogotá, d.c.","['Ascensor', 'Cuarto de Escoltas', 'Garaje(s)', 'Parqueadero Visitantes', 'Portería / Recepción', 'Salón de Juegos', 'Balcón', 'Baño Auxiliar', 'Calentador', 'Chimenea', 'Citófono', 'Cocina Integral']",430.000.000,"VENTA. Apartamento de 85 metros cuadrados área total: cuenta  con: Tres  Habitaciones,  Dos Baños, Sala Comedor, Cocina, zona de ropas, Balcón,  Un parqueadero propio y Deposito, Zonas Sociales, Salón de eventos, parqueadero para visitantes, bicicleteros y Gym,  Cerca transporte publico, Centros Comerciales, Supermercados... EXCELENTE UBICACION...",7791200.0,11,2023-01-27 11:46:14.479966,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-plan/bogota/7791200
34,PentHouse,Apartamento,venta,3.0,2,2,77 ,"70,45 ",Código Fincaraíz: 10006929,,13,9 a 15 años,No definida,"6.233.766,23",Calle 152 # 72 - 35,El plan,Bogotá,"Bogotá, d.c.","['Ascensor', 'En conjunto cerrado', 'Garaje(s)', 'Gimnasio', 'Jardín', 'Parqueadero Visitantes', 'Balcón', 'Baño Auxiliar', 'Calentador', 'Citófono', 'Cocina Integral', 'Estudio']",480.000.000,"Apto. exterior 78m. Consta de 3 habitaciones, 2 baños, 2 balcones,zona de estudio, sala-comedor, cocina integral y zona de lavandería, puerta de seguridad, garaje doble cubierto. Estrato 4. Excelente vista e iluminación natural. Conjunto con salón comunal, parque infantil, parqueadero de visitantes. Está ubicado cerca al Éxito, Decathlon, Centro Comercial La Colina. Cuenta con una excelente ubicación y de fácil acceso rutas del Sitp. Canon de arrendamiento incluida administración.",10006929.0,12,2023-01-27 11:46:15.368743,,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-plan/bogota/10006929
